StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Participant ID,"In a couple of words, where did you complete your session of grading?","In a couple of words, what was happening in your environment? I.e. Listening to music, sitting in silence, in a busy cafe, or watching TV.",What time of day did you undertake your grading?,How long did you grade for (in hours)?,How many assignments did you grade?,How were you feeling when grading? - Not rushed,How were you feeling when grading?,How were you feeling when grading? - Neither not rushed or very rushed,How were you feeling when grading?,How were you feeling when grading? - Very rushed,"Did you have any issues, observations or further comments? (Few sentances only)"
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID8_TEXT""}"
2024-02-26 23:20:19,2024-02-26 23:22:01,IP Address,100,102,True,2024-02-26 23:22:02,R_7bN2xNujIlRdIrR,anonymous,EN-GB,10,Postgraduate office,sitting in silence,Afternoon,1.5,4,,,How rushed did you feel when grading?,,,None currently
2024-02-27 00:51:44,2024-02-27 00:52:56,IP Address,100,72,True,2024-02-27 00:52:57,R_8i4jvrwNjGMmHqV,anonymous,EN-GB,24,at home,listening to music,Night,2.5,1,How rushed did you feel when grading?,,,,,No
2024-02-27 12:19:45,2024-02-27 12:21:57,IP Address,100,131,True,2024-02-27 12:21:57,R_6B2iRMoieyoD306,anonymous,EN-GB,16,I did grading at home,Listening to music,Morning,1,2,How rushed did you feel when grading?,,,,,Software can be laggy some time.
2024-02-27 22:13:28,2024-02-27 22:18:04,IP Address,100,276,True,2024-02-27 22:18:04,R_6wbnuhsAJzEqfJX,anonymous,EN-GB,10,home,sitting in silence,Afternoon,3,5,,How rushed did you feel when grading?,How rushed did you feel when grading?,,,"One suggestion for future java coursework similar to this one: In the coursework spec for students, specify where to put the main class. It will be much easier for examiners to compile their submission package and run the code. "
2024-02-27 19:43:25,2024-02-27 23:18:59,IP Address,100,12934,True,2024-02-27 23:18:59,R_6M6T4jLy0PzKqck,anonymous,EN-GB,6,Home on desk,Listening to podcasts,Night,4,5,,,,How rushed did you feel when grading?,,"By default, there isn't a way to give a 100 for any sections"
2024-02-27 23:44:29,2024-02-27 23:47:43,IP Address,100,194,True,2024-02-27 23:47:44,R_3Eo8tWbEQcAT2mK,anonymous,EN-GB,19,Strand Campus,Sitting in silence,Evening,4,8,,,How rushed did you feel when grading?,,,"The time estimate of 15 mins per assignment is very ambitious if we want to ensure thorough grading, especially when dealing with aspects like elegance. "
2024-02-28 09:42:12,2024-02-28 09:44:48,IP Address,100,156,True,2024-02-28 09:44:48,R_44vcWYkNw4ipJfT,anonymous,EN-GB,5,At home,Silence,Morning,1.5,6,,,How rushed did you feel when grading?,,,
2024-02-28 12:32:05,2024-02-28 12:34:36,IP Address,100,150,True,2024-02-28 12:34:36,R_6LzZj4Y9CG7xVLj,anonymous,EN-GB,6,In bed,Quiet,Morning,3,5,,How rushed did you feel when grading?,,,,
2024-02-28 15:42:13,2024-02-28 15:43:17,IP Address,100,63,True,2024-02-28 15:43:17,R_59lGtOT44b1LZm1,anonymous,EN-GB,10,postgraduate office,sitting in silence,Morning,3.5,8,,,How rushed did you feel when grading?,,,None
2024-02-28 17:09:19,2024-02-28 17:11:42,IP Address,100,143,True,2024-02-28 17:11:42,R_8roUEbFMHdQe5zZ,anonymous,EN-GB,16,in my room," Listening to pop music ",Afternoon,1,4,,,How rushed did you feel when grading?,,,Much more efficient if I could comment as I go through the code for any criteria instead of one at a time.
2024-02-28 19:18:24,2024-02-28 19:19:49,IP Address,100,84,True,2024-02-28 19:19:49,R_8jGGrgRF7agS8Ra,anonymous,EN-GB,20,In my room,no distractions,Evening,1,1,How rushed did you feel when grading?,,,,,No issues
2024-02-28 22:32:26,2024-02-28 22:34:52,IP Address,100,145,True,2024-02-28 22:34:52,R_2MAoxVtzQhefIMM,anonymous,EN-GB,19,Home,"Sitting in silence, occasional light background music",Afternoon,7,12,,How rushed did you feel when grading?,,,,None specifically other than the already highlighted one where it takes much longer on an assignment than assumed to grade properly.
2024-02-29 12:13:58,2024-02-29 12:14:57,IP Address,100,59,True,2024-02-29 12:14:57,R_8iQlQ7d22goARRW,anonymous,EN-GB,5,Home,Silence,Morning,0.25,6,,,How rushed did you feel when grading?,,,Went back to run the projects in BlueJ and ended up docking marks for 4 of them on account of not compiling.
2024-02-29 14:14:58,2024-02-29 14:15:26,IP Address,100,28,True,2024-02-29 14:15:27,R_2BgeBjQF0WmqsOB,anonymous,EN-GB,5,Home,Silence,Afternoon,1.25,4,,,How rushed did you feel when grading?,,,
2024-02-29 14:52:06,2024-02-29 14:53:58,IP Address,100,111,True,2024-02-29 14:53:58,R_7bn7u2Vjf7Z05Ox,anonymous,EN-GB,10,postgraduate office,sitting in silence,Morning,4,10,,How rushed did you feel when grading?,How rushed did you feel when grading?,,,"Out of 10 assignments, 7 of them are regraded according to new instructions. One of the submission file size is too big to be downloaded."
2024-02-29 16:35:48,2024-02-29 16:36:27,IP Address,100,39,True,2024-02-29 16:36:28,R_2nqt5NKHdm5FX8W,anonymous,EN-GB,22,Office,Listening to music,Afternoon,0.75,2,,,,How rushed did you feel when grading?,,
2024-03-01 09:35:42,2024-03-01 10:18:08,IP Address,100,2546,True,2024-03-01 10:18:08,R_67RPaWs3Dktnlq9,anonymous,EN-GB,4,"At home om my desk ",sitting in silence,Morning,3,10,,How rushed did you feel when grading?,,,,"I had trouble compiling some works, I hope it is from the submission and not from my end (some compiled so I guess it s the submission itself)"
2024-03-01 16:35:47,2024-03-01 16:39:08,IP Address,100,201,True,2024-03-01 16:39:08,R_1GpJOTL1h3rQg1M,anonymous,EN-GB,14,at home,"Listening to music, sitting in silence",Afternoon,2.5,6,How rushed did you feel when grading?,,,,,None
2024-03-01 17:05:27,2024-03-01 17:06:21,IP Address,100,53,True,2024-03-01 17:06:21,R_30ibTjcGpC53qCt,anonymous,EN-GB,4,At home on my desk,Quiet,Afternoon,3,10,How rushed did you feel when grading?,,,,,Had a long time figuring out why the classes Rabbit and Fox would not compile
2024-03-01 17:20:56,2024-03-01 17:21:50,IP Address,100,54,True,2024-03-01 17:21:50,R_37KAyHeIevfm2pw,anonymous,EN-GB,6,University,Busy environment,Afternoon,3,5,,How rushed did you feel when grading?,,,,
2024-03-01 20:05:18,2024-03-01 20:05:52,IP Address,100,33,True,2024-03-01 20:05:52,R_8gP59ozUxOClQch,anonymous,EN-GB,22,At home,Sitting in silence,Evening,1.5,2,,,How rushed did you feel when grading?,,,
2024-03-01 20:44:53,2024-03-01 20:45:12,IP Address,100,19,True,2024-03-01 20:45:13,R_4prs3jhiRC2X0b7,anonymous,EN-GB,5,Living room,Light talking/music,Evening,1,5,How rushed did you feel when grading?,,,,,
2024-03-02 10:56:03,2024-03-02 11:03:04,IP Address,100,421,True,2024-03-02 11:03:04,R_5gUyHxnRZwl6krX,anonymous,EN-GB,7,On my PC in my student apartment,sitting in silence,Evening,5,10,How rushed did you feel when grading?,,,,,"I do not like that I am limited in terms of judging the accuracy. If I need to judge it in detail, I have to download the code to my own IDE and try to figure out what is going on in the code. In other words, the evaluation platform is extremely user-unfriendly in terms of judging the accuracy."
2024-03-02 11:03:10,2024-03-02 11:10:49,IP Address,100,459,True,2024-03-02 11:10:50,R_3dNlva80uflOhCt,anonymous,EN-GB,7,On my PC in my student apartment,sitting in silence,Evening,3.5,10,,,How rushed did you feel when grading?,,,
2024-03-02 14:35:09,2024-03-02 14:36:24,IP Address,100,74,True,2024-03-02 14:36:24,R_1RvWpjYg02ADFYP,anonymous,EN-GB,13,KCL PhD office,sitting in silence,Morning,10,1,How rushed did you feel when grading?,,,,,
2024-03-02 17:01:50,2024-03-02 17:02:07,IP Address,100,16,True,2024-03-02 17:02:07,R_2Kvj3OKo5PmYu3B,anonymous,EN-GB,22,At home,Listening to music,Afternoon,0.5,2,,,How rushed did you feel when grading?,,,
2024-03-02 22:08:50,2024-03-02 22:09:31,IP Address,100,40,True,2024-03-02 22:09:32,R_2YSEYYZWHwQFu1j,anonymous,EN-GB,20,at my desk at home,Listening to music,Evening,1.5,2,How rushed did you feel when grading?,,,,,no
2024-03-03 00:12:10,2024-03-03 00:13:10,IP Address,100,60,True,2024-03-03 00:13:11,R_4OU7EjyEr7il3ig,anonymous,EN-GB,24,home,sitting in silence,Evening,4,5,,How rushed did you feel when grading?,,,,
2024-03-03 09:01:12,2024-03-03 09:04:02,IP Address,100,170,True,2024-03-03 09:04:03,R_61t2RcAqE4RZqXK,anonymous,EN-GB,13,In my PhD office,Listening to music,Morning,2,9,,,How rushed did you feel when grading?,,,"Most of submission are well-commented and nicely laid out. However, the maximum grade of documentation part is only 95 out of 100. "
2024-03-03 15:30:30,2024-03-03 15:31:01,IP Address,100,30,True,2024-03-03 15:31:01,R_77M9cdyJgTrExNf,anonymous,EN-GB,2,On my desk in my house,Sitting in silence,Afternoon,1,2,How rushed did you feel when grading?,,,,,
2024-03-03 16:22:34,2024-03-03 16:29:30,IP Address,100,416,True,2024-03-03 16:29:31,R_4IcwI4vBdmjATus,anonymous,EN-GB,16,I completed the grading at home,I was listening to pop music,Afternoon,2,4,,How rushed did you feel when grading?,,,,"This time I used BlueJ to check for whether some tasks has been completed, this has proven to be quite beneficial as usually the demo provide extra details on how some extension tasks are completed "
2024-03-03 17:22:57,2024-03-03 17:24:00,IP Address,100,62,True,2024-03-03 17:24:00,R_76NqcEsWjLUXnzz,anonymous,EN-GB,2,At home on my desk,"Sitting in silence ",Afternoon,1.5,5,How rushed did you feel when grading?,,,,,N/A
2024-03-03 18:32:57,2024-03-03 21:22:10,IP Address,100,10153,True,2024-03-03 21:22:11,R_8R7CyITJIsEd7r2,anonymous,EN-GB,15,Home,Listening to music,Night,1,2,How rushed did you feel when grading?,,,,,
2024-03-03 21:49:26,2024-03-03 21:50:49,IP Address,100,82,True,2024-03-03 21:50:49,R_5Nx1oBinRxaz5dr,anonymous,EN-GB,3,At my apartment,Listening to Music,Night,1.5,5,,How rushed did you feel when grading?,,,,No issues
2024-03-04 15:50:25,2024-03-04 15:51:33,IP Address,100,68,True,2024-03-04 15:51:34,R_7FrIpukyr4nV9h9,anonymous,EN-GB,20,In my house at my desk,sitting in silence,Afternoon,1,3,,,How rushed did you feel when grading?,,,no
2024-03-04 16:10:29,2024-03-04 16:11:32,IP Address,100,62,True,2024-03-04 16:11:33,R_7cCxiZ7MzkeDBht,anonymous,EN-GB,23,Home,sitting in silence,Afternoon,1.5,4,How rushed did you feel when grading?,,,,,
2024-03-04 21:02:44,2024-03-04 21:04:29,IP Address,100,104,True,2024-03-04 21:04:30,R_6qPX3GeGqp7fvsb,anonymous,EN-GB,11,At home on my laptop,Listening to lo-fi hiphop,Evening,2,1,How rushed did you feel when grading?,,,,,"No issues "
2024-03-04 21:02:23,2024-03-04 21:06:00,IP Address,100,216,True,2024-03-04 21:06:01,R_6U9IvqVAM295cec,anonymous,EN-GB,16,I completed this at home,I was listening to music,Evening,2,4,,How rushed did you feel when grading?,,,," "
2024-03-04 22:00:02,2024-03-04 22:00:56,IP Address,100,54,True,2024-03-04 22:00:57,R_6wFty9IjNrbDJoW,anonymous,EN-GB,2,At home on my desk,Listening to music,Evening,1.5,5,,,How rushed did you feel when grading?,,,N/A
2024-03-04 22:39:41,2024-03-04 22:40:05,IP Address,100,23,True,2024-03-04 22:40:05,R_2N3LS5Th3gyUPCM,anonymous,EN-GB,11,at home on my laptop,listening to lo-fi hiphop,Evening,1,1,How rushed did you feel when grading?,,,,,
2024-03-04 23:04:57,2024-03-04 23:05:41,IP Address,100,44,True,2024-03-04 23:05:42,R_89hxDRapHs6uc8N,anonymous,EN-GB,11,at library,listening to music,Night,1,1,How rushed did you feel when grading?,,,,,
2024-03-04 23:11:03,2024-03-04 23:13:25,IP Address,100,141,True,2024-03-04 23:13:25,R_6CPCWe59dlXbTwv,anonymous,EN-GB,16,I completed the marking at home,I was listening to music.,Night,2,6,,,How rushed did you feel when grading?,,,"Submission 334 is too large to export from GradeScope however even after downloading one by one, it still didnt compile, I am not sure if this was intended so I marked it down as F for completeness."
2024-03-04 23:29:19,2024-03-04 23:29:52,IP Address,100,32,True,2024-03-04 23:29:53,R_72HUdWChxl7jkGd,anonymous,EN-GB,11,library,listening to music,Night,1,1,How rushed did you feel when grading?,,,,,
2024-03-04 23:12:07,2024-03-05 01:48:16,IP Address,100,9368,True,2024-03-05 01:48:16,R_6co9zpqarUVY4VP,anonymous,EN-GB,27,Home,TV in background for some duration,Night,2,5,,How rushed did you feel when grading?,,,,Took a while with the first one to get used to the platform and the project. Some rush kicked in with the final ones in this time period.
2024-03-05 10:33:20,2024-03-05 10:35:17,IP Address,100,116,True,2024-03-05 10:35:17,R_7I5x1SMxZIp38KT,anonymous,EN-GB,8,home,sitting in silence,Morning,2,8,How rushed did you feel when grading?,,,,,"Regarding to assignments, yes. I put all comments into comments section"
2024-03-05 10:35:20,2024-03-05 10:35:52,IP Address,100,31,True,2024-03-05 10:35:53,R_34l5Y5l0aiAD6S9,anonymous,EN-GB,8,home,sitting in silence,Afternoon,2.5,12,How rushed did you feel when grading?,,,,,
2024-03-05 19:09:38,2024-03-05 19:10:23,IP Address,100,44,True,2024-03-05 19:10:23,R_1Qa2CDTxVzRme3V,anonymous,EN-GB,22,Office,Sitting in silence,Evening,0.5,3,,,,How rushed did you feel when grading?,,re-grading to account for compile errors
2024-03-05 21:20:56,2024-03-05 21:21:35,IP Address,100,38,True,2024-03-05 21:21:36,R_1coWnbTvuISVyg1,anonymous,EN-GB,2,At home on my desk,Sitting in silence,Afternoon,1,3,,How rushed did you feel when grading?,,,,N/A
2024-03-05 23:01:14,2024-03-05 23:01:44,IP Address,100,29,True,2024-03-05 23:01:44,R_5eViCfdx4UTKMIh,anonymous,EN-GB,3,Home,Listening to Music,Morning,1,4,How rushed did you feel when grading?,,,,,
2024-03-05 23:50:58,2024-03-05 23:54:21,IP Address,100,202,True,2024-03-05 23:54:21,R_4zrBlhr5MmTlmrn,anonymous,EN-GB,27,Home,TV in background,Evening,3,7,,,How rushed did you feel when grading?,,,Short 3~5min breaks taken between assignments.
2024-03-06 04:05:23,2024-03-06 04:05:42,IP Address,100,19,True,2024-03-06 04:05:43,R_1lzuWakYFZrbuat,anonymous,EN-GB,11,at home,tv in the background,Night,6,4,How rushed did you feel when grading?,,,,,
2024-03-06 10:51:09,2024-03-06 10:53:53,IP Address,100,163,True,2024-03-06 10:53:54,R_7Lq7YAvAqfVIl6E,anonymous,EN-GB,25,student office,sitting in silence with people talking,Morning,4.5,20,,,How rushed did you feel when grading?,,,Hard to evaluate some of the grading criterias as they are quite subjective
2024-03-06 22:16:00,2024-03-06 22:17:10,IP Address,100,69,True,2024-03-06 22:17:10,R_4JDYlj1Rk4F83Ie,anonymous,EN-GB,2,At home on my desk,Music in background,Evening,1,2,,,How rushed did you feel when grading?,,,N/A
2024-03-06 23:40:58,2024-03-06 23:42:20,IP Address,100,82,True,2024-03-06 23:42:20,R_3riPds5ArNpQ8Pg,anonymous,EN-GB,21,Home,"Sitting at my work desk ",Night,1,1,How rushed did you feel when grading?,,,,,
2024-03-07 01:04:55,2024-03-07 01:06:29,IP Address,100,94,True,2024-03-07 01:06:29,R_1dBxpYjyhuGMBwu,anonymous,EN-GB,27,Home,TV in background,Evening,2.5,8,,,How rushed did you feel when grading?,,,Felt like I have got harsher over time. One submission seemed like no attempt was made.
2024-03-07 16:53:55,2024-03-07 16:54:59,IP Address,100,63,True,2024-03-07 16:54:59,R_516WeBR55kPP10C,anonymous,EN-GB,20,At my desk,sitting in silence,Afternoon,1,5,,,How rushed did you feel when grading?,,,no
2024-03-07 17:58:39,2024-03-07 18:00:20,IP Address,100,100,True,2024-03-07 18:00:21,R_6bJKVQKQHpnVYxu,anonymous,EN-GB,6,Computer Labs,Quiet environment with other people working,Afternoon,5,5,How rushed did you feel when grading?,,,,,
2024-03-07 19:07:35,2024-03-07 19:08:41,IP Address,100,66,True,2024-03-07 19:08:41,R_4DtYzsQg4AjV5iF,anonymous,EN-GB,11,at home,listening to music,Afternoon,3,4,How rushed did you feel when grading?,,,,,
2024-03-07 19:08:45,2024-03-07 19:09:08,IP Address,100,22,True,2024-03-07 19:09:08,R_2EagL2QjgUDwfYc,anonymous,EN-GB,11,library,listening to music,Afternoon,4,4,How rushed did you feel when grading?,,,,,
2024-03-07 19:36:19,2024-03-07 19:36:59,IP Address,100,40,True,2024-03-07 19:37:00,R_4dNB1Ot43f0j9Cf,anonymous,EN-GB,21,Home,Sitting in silence,Evening,1,2,How rushed did you feel when grading?,,,,,
2024-03-07 20:24:38,2024-03-07 20:25:00,IP Address,100,22,True,2024-03-07 20:25:01,R_4kHaDBlAMyrg4Qn,anonymous,EN-GB,21,Home,Sitting in silence,Evening,1,2,How rushed did you feel when grading?,,,,,
2024-03-07 21:53:29,2024-03-07 21:53:53,IP Address,100,24,True,2024-03-07 21:53:54,R_3S84Dtib3PsdAKT,anonymous,EN-GB,21,Home,Sitting in silence,Night,1,4,How rushed did you feel when grading?,,,,,
2024-03-07 22:39:07,2024-03-07 22:39:47,IP Address,100,39,True,2024-03-07 22:39:48,R_3c0yMfTv5jkME7f,anonymous,EN-GB,3,Home,Listening to music,Morning,1.5,6,How rushed did you feel when grading?,,,,,
2024-03-08 02:41:45,2024-03-08 02:43:23,IP Address,100,97,True,2024-03-08 02:43:24,R_6mftaXp3u7TJGrQ,anonymous,EN-GB,14,at home,sitting in silence and after a while listening to a TV show,Night,3,10,,How rushed did you feel when grading?,,,,None
2024-03-08 13:14:42,2024-03-08 13:15:51,IP Address,100,69,True,2024-03-08 13:15:51,R_7ncPEhc2QpBXROR,anonymous,EN-GB,14,At Home,Listening to music,Afternoon,1,4,How rushed did you feel when grading?,,,,,None
2024-03-08 15:45:51,2024-03-08 15:47:49,IP Address,100,117,True,2024-03-08 15:47:49,R_11AOEAC7OZJrp3V,anonymous,EN-GB,28,At home,Listening to podcast,Afternoon,1.5,1,,How rushed did you feel when grading?,,,,"As this was the first assignment I marked, it took me longer than expected. I initially made the mistake of criticising some of the design decisions in the original task codebase by accident"
2024-03-08 17:24:11,2024-03-08 17:25:44,IP Address,100,92,True,2024-03-08 17:25:44,R_4f8hq9hbDhgZ6ec,anonymous,EN-GB,28,At home,Listening to a podcast,Afternoon,2.5,4,,How rushed did you feel when grading?,,,,It can be difficult to assign exact grade values consistently. Often the general code quality will influence my decisions.
2024-03-08 18:52:56,2024-03-08 18:53:18,IP Address,100,22,True,2024-03-08 18:53:18,R_2hiuyGl6UYlUGSJ,anonymous,EN-GB,11,at home,listening to music,Afternoon,3,3,How rushed did you feel when grading?,,,,,
2024-03-08 21:36:51,2024-03-08 21:37:46,IP Address,100,55,True,2024-03-08 21:37:47,R_7tAau2brNaMgWCn,anonymous,EN-GB,3,Home,Listening to music,Evening,1.30,6,How rushed did you feel when grading?,,,,,
2024-03-09 11:05:50,2024-03-09 11:07:40,IP Address,100,109,True,2024-03-09 11:07:40,R_2GJHRduajMoF2HZ,anonymous,EN-GB,28,At home,listening to music,Morning,2,5,,,How rushed did you feel when grading?,,,The effort the students make in ensuring their code is easy to read can have a big influence on marking. If the code is difficult to read it makes it harder to identify whether requirements have been met correctly
2024-03-09 12:21:46,2024-03-09 12:23:18,IP Address,100,91,True,2024-03-09 12:23:18,R_43rImlBmyiPKiWp,anonymous,EN-GB,13,PhD,sitting in silence,Afternoon,3,10,How rushed did you feel when grading?,,,,,
2024-03-09 15:16:43,2024-03-09 15:17:04,IP Address,100,21,True,2024-03-09 15:17:05,R_4xWDaDNneV0OQp5,anonymous,EN-GB,5,At home,Silence,Afternoon,0.75,5,How rushed did you feel when grading?,,,,,
2024-03-09 16:07:04,2024-03-09 16:08:42,IP Address,100,97,True,2024-03-09 16:08:42,R_2kApWrOZkm4mULl,anonymous,EN-GB,23,home,sitting in silence,Evening,2,6,,How rushed did you feel when grading?,,,,one assignment was not changed from the original example source files
2024-03-09 16:36:58,2024-03-09 16:37:51,IP Address,100,52,True,2024-03-09 16:37:51,R_1Qss9QMNjYIO7B8,anonymous,EN-GB,22,At home,Listening to music,Afternoon,1.5,4,,,How rushed did you feel when grading?,,,
2024-03-09 17:44:42,2024-03-09 17:46:00,IP Address,100,78,True,2024-03-09 17:46:01,R_2fV0k73uKWQEWLB,anonymous,EN-GB,28,At Home,Listening to podcast,Evening,1.5,5,,How rushed did you feel when grading?,,,,Sometimes students submit very ambitious solutions but make mistakes with fundamentals. It can be difficult to assess an appropriate grade for these types of submissions
2024-03-09 17:58:41,2024-03-09 17:59:44,IP Address,100,62,True,2024-03-09 17:59:44,R_22LUXGwnplunQkG,anonymous,EN-GB,2,At home on my desk,Sitting in silence,Afternoon,1,3,,How rushed did you feel when grading?,,,,Recovering from a migraine
2024-03-09 21:23:52,2024-03-09 21:24:37,IP Address,100,45,True,2024-03-09 21:24:38,R_2EZmiR1bvDvVSrV,anonymous,EN-GB,28,At Home,Listening to music,Night,1,5,,How rushed did you feel when grading?,,,,One student submitted the coursework code as-is without any modification
2024-03-09 21:30:37,2024-03-09 21:33:23,IP Address,100,166,True,2024-03-09 21:33:24,R_823hyZHeykpQrYl,anonymous,EN-GB,18,A few days before the deadline after a busy day,Listening to lo-fi music,Evening,1.15,4,,,How rushed did you feel when grading?,,,"From these 4 submissions, I noticed that the grades difference became higher and I feel that this is because I have marked enough examples to have a rough idea of how I should adapt my marking."
2024-03-09 21:33:29,2024-03-09 21:35:06,IP Address,100,97,True,2024-03-09 21:35:07,R_1YDnjdaloWZ7dHV,anonymous,EN-GB,18,The first thing in the morning on a free day,Listening to lo-fi music and sometimes sitting in silence at home,Morning,2,5,,How rushed did you feel when grading?,,,,"The first assignments are quite hard to mark because I need to learn how I should mark properly. Also, I realised that the grading system is quite vague and there might be many places where subjectivity takes place."
2024-03-09 23:23:36,2024-03-09 23:24:50,IP Address,100,74,True,2024-03-09 23:24:51,R_8MQc4e8ykXT8IH7,anonymous,EN-GB,24,Home,sitting in silence and listening to music,Morning,10,11,,,How rushed did you feel when grading?,,,
2024-03-09 23:25:08,2024-03-09 23:27:59,IP Address,100,170,True,2024-03-09 23:27:59,R_8sZmHxwxETnu3oL,anonymous,EN-GB,26,Bedroom,Silence,Evening,1,8,,How rushed did you feel when grading?,,,,It's quite tedious to grade as it requires many more little steps than one would think. It would be nice to have access to the autograder functionality.
2024-03-10 13:40:29,2024-03-10 13:41:20,IP Address,100,50,True,2024-03-10 13:41:21,R_2fIhlXROeXEOiOy,anonymous,EN-GB,24,home,sitting in silence,Morning,3,7,,,How rushed did you feel when grading?,How rushed did you feel when grading?,,
2024-02-28 22:00:13,2024-03-10 15:14:49,IP Address,100,926076,True,2024-03-10 15:14:49,R_2ekuDs5VMB2j5c5,anonymous,EN-GB,12,quiet room,sitting in silence,Afternoon,1,5,How rushed did you feel when grading?,,,,,
2024-03-10 13:10:12,2024-03-10 15:16:06,IP Address,100,7554,True,2024-03-10 15:16:07,R_8RgCPlmoTkPKbjr,anonymous,EN-GB,15,home,Listening to music,Afternoon,2,8,,,How rushed did you feel when grading?,,,
