StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9
2024-03-10 16:15:28,2024-03-10 16:16:42,IP Address,100,74,True,2024-03-10 16:16:42,R_20O0izIWVQvPacI,anonymous,EN-GB,23,home,listening to music,Evening,2,6,How rushed did you feel when grading?,,,,,one assignment didn't compile due to using external packages
2024-03-10 16:28:51,2024-03-10 16:30:09,IP Address,100,77,True,2024-03-10 16:30:09,R_8PhaqwocVmaKGYW,anonymous,EN-GB,18,During the day on a free day,Listening to music or sitting in silence,Afternoon,0.75,3,,,How rushed did you feel when grading?,How rushed did you feel when grading?,,"Once I gained more experience with marking, I realised that the grades are better scaled, considering the approach that I have to marking."
2024-03-10 17:43:55,2024-03-10 17:44:32,IP Address,100,36,True,2024-03-10 17:44:32,R_84ULtlIVIZjonMR,anonymous,EN-GB,2,At home on my desk,Watching Football,Afternoon,1,2,,How rushed did you feel when grading?,,,,N/A
2024-03-10 23:16:16,2024-03-10 23:17:55,IP Address,100,99,True,2024-03-10 23:17:56,R_8vNkXRldooedwcx,anonymous,EN-GB,9,My house,Busy environment due to family visiting,Evening,5,5,,,,How rushed did you feel when grading?,,I felt a bit overwhelmed
2024-03-11 00:35:34,2024-03-11 00:36:04,IP Address,100,30,True,2024-03-11 00:36:04,R_2R7BcHJcHyUYInj,anonymous,EN-GB,20,At my desk,sitting in silence,Night,2,5,,,,How rushed did you feel when grading?,,no
2024-03-11 00:42:49,2024-03-11 00:43:43,IP Address,100,54,True,2024-03-11 00:43:44,R_6F62mmQNONIhr8d,anonymous,EN-GB,21,Home,Sitting in silence,Night,2,3,How rushed did you feel when grading?,,,,,
2024-03-10 15:14:51,2024-03-11 01:42:11,IP Address,100,37639,True,2024-03-11 01:42:11,R_714JmFqXtt5lYpi,anonymous,EN-GB,12,desk,"sitting in silence ",Night,4,15,How rushed did you feel when grading?,,,,,
2024-03-11 10:36:28,2024-03-11 10:38:56,IP Address,100,148,True,2024-03-11 10:38:57,R_55yck6BV8IWwDAT,anonymous,EN-GB,18,At home in front of my office,Listening to lo-fi music,Morning,1.25,5,,How rushed did you feel when grading?,,,,"This session felt really well as, even though I tried not to rush it, I successfully finished the grading quite quick. It feels that I gained some experience marking and now it feels natural."
2024-03-11 13:14:52,2024-03-11 15:20:08,IP Address,100,7515,True,2024-03-11 15:20:09,R_5ni3o9AGWxov9qF,anonymous,EN-GB,1,My room,"Listening to music, and in a voice call with my SO. We were both working, so we were silent. The call was just so we knew each other was present.",Afternoon,6,20,,,How rushed did you feel when grading?,How rushed did you feel when grading?,,Some submissions were just the base code. I don't know if this was intentional.
2024-03-11 18:22:16,2024-03-11 18:23:11,IP Address,100,54,True,2024-03-11 18:23:11,R_5ayvkIB5WxEuCpd,anonymous,EN-GB,22,At home,Sitting in silence,Afternoon,3.5,8,,,,How rushed did you feel when grading?,,
2024-03-12 00:29:21,2024-03-12 00:30:57,IP Address,100,96,True,2024-03-12 00:30:58,R_2G7gFvWHLOiJhC3,anonymous,EN-GB,9,in my room,busy and noisy distract environment as its ramadan and the house was very hectic preparing food to break fast.,Evening,7,10,,,How rushed did you feel when grading?,How rushed did you feel when grading?,,"I felt quite distracted due to the noise and unable to concentrate "
2024-03-12 00:40:15,2024-03-12 00:41:50,IP Address,100,94,True,2024-03-12 00:41:50,R_5wUIVQhNY5iXH6V,anonymous,EN-GB,9,the library,quiet environment but lots of distraction and noise as there was an event going on in the library,Afternoon,7,5,,,How rushed did you feel when grading?,,,I wasn't able to concentrate and focus very well as I was thinking about my courseworks which are due soon
2024-03-12 00:09:20,2024-03-12 02:38:16,IP Address,100,8936,True,2024-03-12 02:38:17,R_1Rpq1w0dPHVdYqZ,anonymous,EN-GB,17,At home,Silence,Night,3,7,,,How rushed did you feel when grading?,,,
2024-03-12 14:27:29,2024-03-12 14:28:37,IP Address,100,67,True,2024-03-12 14:28:37,R_57VeddGFeLgEe6i,anonymous,EN-GB,18,At uni and at work,"Sitting in silence, or in a busy environment",Afternoon,1,4,,,How rushed did you feel when grading?,,,"From the beginning, I felt the excitement of finishing the marking and I became quite confident in terms of the process itself."
2024-03-12 16:16:57,2024-03-12 16:17:14,IP Address,100,17,True,2024-03-12 16:17:14,R_2DUdYWJjv0VInxD,anonymous,EN-GB,22,In the office,Sitting in silence,Afternoon,0.25,1,,,How rushed did you feel when grading?,,,
2024-03-13 23:37:18,2024-03-13 23:38:44,IP Address,100,86,True,2024-03-13 23:38:46,R_3CDhq6WuGvHiZ8j,anonymous,EN-GB,17,Home,Silence,Night,4,12,,How rushed did you feel when grading?,How rushed did you feel when grading?,,,
2024-03-24 01:09:37,2024-03-24 01:11:44,IP Address,100,127,True,2024-03-24 01:11:45,R_5ekUOEynP74O5km,anonymous,EN-GB,15,Home,sitting in silence,Night,3,10,,,,How rushed did you feel when grading?,,There is no way to directly download a larger submission (with mp3).
2024-03-25 14:52:05,2024-03-25 14:53:55,IP Address,100,109,True,2024-03-25 14:53:55,R_8rMmjgFe25VpNxb,anonymous,EN-GB,4,At home on my desk,"Silent, focused on the task ",Afternoon,2,10,,How rushed did you feel when grading?,,,,No
2024-03-25 15:45:06,2024-03-25 15:47:08,IP Address,100,121,True,2024-03-25 15:47:08,R_2pZ5zG8rZaCRSHJ,anonymous,EN-GB,28,At home,Watching youtube in the background,Afternoon,1.5,5,How rushed did you feel when grading?,,,,,It was a bit difficult to assess my consistency when marking in batches with some time in between
2024-03-25 16:55:11,2024-03-25 16:55:57,IP Address,100,45,True,2024-03-25 16:55:57,R_2wgblQWST8ZGQEN,anonymous,EN-GB,10,PGR office,sitting in silence,Afternoon,3.5,8,,How rushed did you feel when grading?,,,,No.
2024-03-25 21:18:19,2024-03-25 21:19:12,IP Address,100,52,True,2024-03-25 21:19:12,R_87qdXRMeWt9ZgB2,anonymous,EN-GB,28,At home,Listening to a podcast,Evening,1,5,,How rushed did you feel when grading?,How rushed did you feel when grading?,,,
2024-03-26 19:29:00,2024-03-26 19:31:58,IP Address,100,178,True,2024-03-26 19:31:59,R_5L92hsRJ5n74it3,anonymous,EN-GB,7,Using my computer on the desk in my room,sitting in silence,Evening,4,10,How rushed did you feel when grading?,,,,,
2024-03-26 19:32:06,2024-03-26 19:34:35,IP Address,100,148,True,2024-03-26 19:34:35,R_4Lqfg8CCNQsOkKt,anonymous,EN-GB,7,Using my computer on the desk in my room,sitting in silence,Evening,3.5,10,How rushed did you feel when grading?,,,,,"Few originalities have been seen. Instead of enhancing the example, students were just padding it."
2024-03-27 13:00:29,2024-03-27 13:01:40,IP Address,100,70,True,2024-03-27 13:01:40,R_6Bu1KVysnw5N8ZM,anonymous,EN-GB,10,PGR office,sitting in silence,Morning,2.5,7,,How rushed did you feel when grading?,,,,This submission from student 682 (in batch 2) is completely identical to the submission from student 97 (in batch 1). Both are marked as F.  Plagiarism is considered.
2024-03-27 19:02:01,2024-03-27 19:03:24,IP Address,100,83,True,2024-03-27 19:03:25,R_2QE7jdrbtOnTRuJ,anonymous,EN-GB,20,At home,sitting in silence,Evening,0.5,3,,,How rushed did you feel when grading?,,,no
2024-03-28 10:06:44,2024-03-28 10:07:18,IP Address,100,34,True,2024-03-28 10:07:19,R_32Lvwn6jVLmJItp,anonymous,EN-GB,11,at home,listening to music,Morning,4,8,How rushed did you feel when grading?,,,,,
2024-03-28 12:33:45,2024-03-28 12:34:39,IP Address,100,54,True,2024-03-28 12:34:40,R_2uDHK4WJyVvB3Yw,anonymous,EN-GB,10,PGR office,sitting in silence,Morning,1.5,5,,,How rushed did you feel when grading?,,,
2024-03-30 18:14:47,2024-03-30 18:17:14,IP Address,100,147,True,2024-03-30 18:17:15,R_2dfN14fjNg9500I,anonymous,EN-GB,16,I did my grading at home,I was listening to Lofi and pop music..,Morning,4,10,,,How rushed did you feel when grading?,,,"This iteration of grading seems to go smoother and easier to understand due to the past experience. One of the submission seem to have a missing file for rabbit, which has been graded F."
2024-04-01 00:54:47,2024-04-01 01:00:32,IP Address,100,344,True,2024-04-01 01:00:32,R_4diOzUCC5gF472B,anonymous,EN-GB,16,At home,Listening to music,Evening,4,10,,,How rushed did you feel when grading?,,,"As I marked more submissions, the time taken to understand the code gradually becomes easier, hence I feel more confident in the grade that I have given to the current submission."
2024-04-01 01:42:18,2024-04-01 01:43:21,IP Address,100,63,True,2024-04-01 01:43:22,R_2oiDLPCnkpi40cV,anonymous,EN-GB,20,at home sitting at my desk,listening to music,Night,3,11,,How rushed did you feel when grading?,,,,no issues
2024-04-01 19:57:47,2024-04-01 19:58:28,IP Address,100,40,True,2024-04-01 19:58:28,R_2qa0pLlovwWWXg0,anonymous,EN-GB,24,at home,sitting in silence,Morning,6,5,How rushed did you feel when grading?,,,,,no
2024-04-02 02:15:27,2024-04-02 02:16:05,IP Address,100,37,True,2024-04-02 02:16:06,R_4FCBnNcJNRG5Gnv,anonymous,EN-GB,20,At home sitting at my desk,Listening to music,Night,2,6,How rushed did you feel when grading?,,,,,no issues
2024-04-02 13:26:04,2024-04-02 13:26:49,IP Address,100,45,True,2024-04-02 13:26:49,R_7NtooVqfyW9DwwF,anonymous,EN-GB,22,Library,Sitting in silence,Afternoon,0.25,1,,How rushed did you feel when grading?,,,,
2024-04-02 10:40:01,2024-04-02 13:37:02,IP Address,100,10620,True,2024-04-02 13:37:03,R_2aKVqHUa5bEqMvM,anonymous,EN-GB,25,student office,in a study space,Morning,54,20,,,How rushed did you feel when grading?,,,Some of the codes are hard to evaluate and it might experience some issue in grading consistency unless I am doing it in one session.
2024-04-02 13:47:22,2024-04-02 13:51:38,IP Address,100,256,True,2024-04-02 13:51:39,R_2ccQqLkKRrs0gXX,anonymous,EN-GB,4,At home on my desk,"Quiet, focused",Afternoon,2,10,How rushed did you feel when grading?,,,,,"One submission did not compile, I tried several times"
2024-04-02 23:38:47,2024-04-02 23:39:15,IP Address,100,28,True,2024-04-02 23:39:16,R_3wlleeJE0URHtFD,anonymous,EN-GB,24,at home,sitting in silence,Night,3.5,5,,,,How rushed did you feel when grading?,,
2024-04-03 12:02:58,2024-04-03 12:03:42,IP Address,100,44,True,2024-04-03 12:03:43,R_6rZOYCCqFbad4Sg,anonymous,EN-GB,2,At home on my desk,Listening to music,Evening,2,5,,,,How rushed did you feel when grading?,,
2024-03-11 01:42:13,2024-04-03 17:14:45,IP Address,100,2039551,True,2024-04-03 17:14:45,R_8nNpXdGMcxNfV9S,anonymous,EN-GB,12,alone in a room,"sitting in silence ",Afternoon,2,5,,,How rushed did you feel when grading?,,,
2024-04-03 17:15:48,2024-04-03 17:36:07,IP Address,100,1218,True,2024-04-03 17:36:07,R_2Sqsg87vZQwOVRI,anonymous,EN-GB,17,At home,Listening to music,Afternoon,4,12,,How rushed did you feel when grading?,,,,
2024-04-03 17:14:47,2024-04-03 18:01:15,IP Address,100,2787,True,2024-04-03 18:01:15,R_22AjA67oG3Fbtks,anonymous,EN-GB,12,room,sitting in silence,Afternoon,2,5,,,How rushed did you feel when grading?,,,
2024-04-03 19:47:48,2024-04-03 20:35:22,IP Address,100,2853,True,2024-04-03 20:35:22,R_2JPWB4Dahe3RFmi,anonymous,EN-GB,6,Bedroom,Listening to music,Evening,2.5,5,,,,How rushed did you feel when grading?,,
2024-04-04 00:12:51,2024-04-04 00:14:02,IP Address,100,71,True,2024-04-04 00:14:03,R_22tNHBOyPiH7GIV,anonymous,EN-GB,5,In my room,"Some music, some silence",Night,0.75,5,,How rushed did you feel when grading?,,,,Having memorised the general structure of the mark scheme has increased the speed at which I mark.
2024-04-03 22:34:33,2024-04-04 00:36:44,IP Address,100,7330,True,2024-04-04 00:36:45,R_5gdWmkqBsAd5oh5,anonymous,EN-GB,6,Bedroom,Listening to music,Night,3.5,5,,,How rushed did you feel when grading?,,,
2024-04-04 15:23:45,2024-04-04 15:25:02,IP Address,100,76,True,2024-04-04 15:25:02,R_77pX22QZlzpFbuj,anonymous,EN-GB,24,at home,sitting in silence,Morning,6.5,10,,,How rushed did you feel when grading?,How rushed did you feel when grading?,How rushed did you feel when grading?,
2024-04-04 16:16:10,2024-04-04 16:16:42,IP Address,100,31,True,2024-04-04 16:16:42,R_47dtSeTmv42zI81,anonymous,EN-GB,28,In a cafe,Listening to music,Afternoon,1,5,,,How rushed did you feel when grading?,,,
2024-04-04 17:42:33,2024-04-04 17:42:56,IP Address,100,22,True,2024-04-04 17:42:56,R_2GuYc7hBczTiRrz,anonymous,EN-GB,14,at home,sitting in silence,Afternoon,3,10,How rushed did you feel when grading?,,,,,None
2024-04-04 19:06:05,2024-04-04 19:26:56,IP Address,100,1251,True,2024-04-04 19:26:57,R_5Am0yLKY0Mdp1yV,anonymous,EN-GB,17,Home,Listening to podcast,Afternoon,3.5,9,,How rushed did you feel when grading?,,,,Overall it is sometimes hard to judge how to grade assignments that run much more slowly or do not display any interesting behaviours during the simulation. This is a little ambigious on how many marks should be deducted as a result.
2024-04-03 18:01:19,2024-04-05 01:02:55,IP Address,100,111696,True,2024-04-05 01:02:56,R_1aZHHR6aXRxRh2V,anonymous,EN-GB,12,study desk,sitting in silence,Evening,2.5,5,,,How rushed did you feel when grading?,,,
2024-04-05 01:02:57,2024-04-05 02:08:04,IP Address,100,3907,True,2024-04-05 02:08:05,R_2iVlEei3BgXYkHP,anonymous,EN-GB,12,study desk,sitting in silence,Night,2.5,5,,,How rushed did you feel when grading?,,,
2024-04-05 05:48:38,2024-04-05 05:49:18,IP Address,100,39,True,2024-04-05 05:49:18,R_72DoL7ffx6BYRkM,anonymous,EN-GB,14,At Home,sitting in silence,Night,2.5,10,,How rushed did you feel when grading?,,,,None
2024-04-05 15:01:35,2024-04-05 15:01:54,IP Address,100,19,True,2024-04-05 15:01:55,R_27mUgAXSkKiZQOt,anonymous,EN-GB,2,At home on my desk,Sitting in silence,Evening,2,5,How rushed did you feel when grading?,,,,,
2024-04-05 23:56:05,2024-04-05 23:58:43,IP Address,100,157,True,2024-04-05 23:58:44,R_4hFFIZTuRVvgRFz,anonymous,EN-GB,23,home,silence,Evening,2,5,,How rushed did you feel when grading?,,,,one of the assignments did not compile due to missing dependencies
2024-04-06 00:21:23,2024-04-06 00:24:38,IP Address,100,195,True,2024-04-06 00:24:38,R_8KW63MKtI4VpqOR,anonymous,EN-GB,6,Bedroom,Listening to music,Afternoon,3,5,,How rushed did you feel when grading?,,,,Readability/Code Elegance and Readability/Documentation overlap in terms of what is checked. May be clearer to rearrange and segregate criteria within sections or rename them.
2024-04-06 00:24:43,2024-04-06 01:34:11,IP Address,100,4168,True,2024-04-06 01:34:11,R_2EGjQC4MGVy5geu,anonymous,EN-GB,6,Desk,Watching TV,Night,4,5,,,How rushed did you feel when grading?,,,
2024-04-06 02:27:45,2024-04-06 03:46:59,IP Address,100,4754,True,2024-04-06 03:47:00,R_5hywLN8rbkUWEe9,anonymous,EN-GB,15,home,Listening to music,Night,2,5,How rushed did you feel when grading?,,,,,
2024-04-06 16:35:23,2024-04-06 16:35:50,IP Address,100,26,True,2024-04-06 16:35:50,R_1CHXc80AQJukHK5,anonymous,EN-GB,2,At home on my desk,Listening to music,Evening,2,5,How rushed did you feel when grading?,,,,,
2024-04-06 18:36:10,2024-04-06 18:38:08,IP Address,100,117,True,2024-04-06 18:38:08,R_40txgY1487Ck5Dr,anonymous,EN-GB,2,At home on my desk,Watching TV,Afternoon,2,5,How rushed did you feel when grading?,,,,,
2024-04-06 23:43:57,2024-04-06 23:44:42,IP Address,100,44,True,2024-04-06 23:44:43,R_5EcMDeW7ITPJfJc,anonymous,EN-GB,23,desk at home,silence,Evening,2.5,8,How rushed did you feel when grading?,,,,,
2024-04-07 00:00:27,2024-04-07 00:39:56,IP Address,100,2369,True,2024-04-07 00:39:57,R_8Q0zaNnuTAXAwvn,anonymous,EN-GB,27,Home,Silence,Night,1,3,,,,How rushed did you feel when grading?,,"Had to familiarise after the break, but not too much."
2024-04-07 04:01:03,2024-04-07 04:02:59,IP Address,100,115,True,2024-04-07 04:02:59,R_2Yiaj5uoBeJjAbV,anonymous,EN-GB,19,Home,low volume soft music,Evening,8,14,,,How rushed did you feel when grading?,,,
2024-04-07 04:26:27,2024-04-07 05:20:55,IP Address,100,3267,True,2024-04-07 05:20:56,R_8pbXXOCtEawJL6a,anonymous,EN-GB,15,home," Listening to music",Night,2,8,,How rushed did you feel when grading?,,,,
2024-04-07 12:19:31,2024-04-07 12:19:54,IP Address,100,23,True,2024-04-07 12:19:54,R_1hR60syNinHhKC7,anonymous,EN-GB,23,home,silence,Morning,2.5,7,How rushed did you feel when grading?,,,,,
2024-04-07 13:18:22,2024-04-07 13:19:19,IP Address,100,56,True,2024-04-07 13:19:20,R_3UgyMHWd3x50PmU,anonymous,EN-GB,28,At home,Listening to music,Morning,1,5,How rushed did you feel when grading?,,,,,One submission only contained Java files which I felt I needed to mark as a 0 however that does feel harsh
2024-04-07 13:36:59,2024-04-07 13:37:21,IP Address,100,22,True,2024-04-07 13:37:21,R_2MkXr0cmSBwxG8h,anonymous,EN-GB,15,home,Listening to music,Morning,2,7,How rushed did you feel when grading?,,,,,
2024-04-07 13:39:55,2024-04-07 13:40:32,IP Address,100,36,True,2024-04-07 13:40:32,R_5sogXvwAZyLAjvG,anonymous,EN-GB,26,Bedroom,Silence,Evening,1,4,,,How rushed did you feel when grading?,,,
2024-04-07 14:20:39,2024-04-07 14:21:37,IP Address,100,57,True,2024-04-07 14:21:37,R_8VPDN6kE3b1vBeh,anonymous,EN-GB,19,Home,Sitting in silence,Afternoon,2.5,6,,,How rushed did you feel when grading?,,,
2024-04-07 16:35:38,2024-04-07 16:43:12,IP Address,100,454,True,2024-04-07 16:43:12,R_2DultDTDbeNYF94,anonymous,EN-GB,13,In PhD office,Listening to music,Afternoon,6,20,How rushed did you feel when grading?,,,,,
2024-04-07 17:56:43,2024-04-07 17:58:26,IP Address,100,103,True,2024-04-07 17:58:27,R_20FBTJ6KaUQkjW9,anonymous,EN-GB,3,Home," Listening to music",Morning,3,10,How rushed did you feel when grading?,,,,,Some assignments had the folder structure missing. I had to create the folder structure properly to run the project in BlueJ
2024-04-07 18:00:27,2024-04-07 18:03:05,IP Address,100,158,True,2024-04-07 18:03:06,R_2JgyRskfOjmA1cl,anonymous,EN-GB,9,in my room,"sitting in silence ",Evening,7.5,10,,,,How rushed did you feel when grading?,,"I felt rushed because I have 4 other assignments to hand in this month so my mind was just stressed thinking about that. Also I was fasting so it was hard to concentrate. "
2024-04-07 18:05:28,2024-04-07 18:13:37,IP Address,100,489,True,2024-04-07 18:13:38,R_63DTssNnREGHW7u,anonymous,EN-GB,11,at home,listening to music,Afternoon,3,5,How rushed did you feel when grading?,,,,,
2024-04-07 18:13:39,2024-04-07 18:14:08,IP Address,100,29,True,2024-04-07 18:14:09,R_2P6m6AnIpZorWLB,anonymous,EN-GB,11,at library,silence,Evening,2,2,How rushed did you feel when grading?,,,,,
2024-04-07 18:14:10,2024-04-07 18:15:17,IP Address,100,66,True,2024-04-07 18:15:18,R_2LHEGKGMS4K5vSc,anonymous,EN-GB,11,at home,listening to music,Night,4,6,How rushed did you feel when grading?,,,,,
2024-04-07 18:15:18,2024-04-07 18:15:40,IP Address,100,21,True,2024-04-07 18:15:40,R_3iIO35FSalzL2Y3,anonymous,EN-GB,11,at home,watching tv,Morning,3,3,How rushed did you feel when grading?,,,,,
2024-04-07 18:15:46,2024-04-07 18:16:11,IP Address,100,25,True,2024-04-07 18:16:12,R_7cA23561JNzsSnD,anonymous,EN-GB,11,at home,watching tv,Afternoon,2,4,,,How rushed did you feel when grading?,,,
2024-04-07 18:44:57,2024-04-07 18:50:14,IP Address,100,317,True,2024-04-07 18:50:15,R_2zkdw5VCFgJkJTw,anonymous,EN-GB,27,Home,Silence,Afternoon,3,7,,,How rushed did you feel when grading?,How rushed did you feel when grading?,,"When adjusting points for a submission, accidentally did it for all rather than specific."
2024-04-07 20:12:26,2024-04-07 20:13:11,IP Address,100,44,True,2024-04-07 20:13:11,R_21yf9NFlTKqeXD4,anonymous,EN-GB,26,Bedroom,Silence,Evening,6,16,,,,How rushed did you feel when grading?,,Very little variance in this batch of submissions
2024-04-07 20:13:54,2024-04-07 20:15:16,IP Address,100,81,True,2024-04-07 20:15:16,R_2Edcs3wOq7h6hq2,anonymous,EN-GB,1,Hotel room with a laptop,Some people were also in the room doing their own things,Evening,2,5,,,,How rushed did you feel when grading?,,"Environment was very noisy, and I was ill."
2024-04-08 00:36:15,2024-04-08 00:37:01,IP Address,100,45,True,2024-04-08 00:37:02,R_71o3TSQkLEaj3W1,anonymous,EN-GB,9,"in my room ",tv show in the background,Night,8,10,,,,How rushed did you feel when grading?,,no
2024-04-08 01:40:56,2024-04-08 01:43:28,IP Address,100,152,True,2024-04-08 01:43:29,R_4dFibhalF9Fp39K,anonymous,EN-GB,27,Home,Silence,Night,3.5,10,,,,How rushed did you feel when grading?,,Felt more experienced and could get through quicker.
2024-04-08 10:29:15,2024-04-08 10:29:34,IP Address,100,18,True,2024-04-08 10:29:35,R_2re1S0dzEt1CchB,anonymous,EN-GB,3,Home,Listening to music,Morning,4,10,How rushed did you feel when grading?,,,,,
2024-04-08 13:49:44,2024-04-08 13:54:51,IP Address,100,306,True,2024-04-08 13:54:52,R_83u6z6ttfEnK5hf,anonymous,EN-GB,1,Hotel room,Silence with occasional visitors,Morning,4,15,,,,,How rushed did you feel when grading?,
2024-04-08 19:13:43,2024-04-08 19:14:58,IP Address,100,74,True,2024-04-08 19:14:58,R_2YsMgiL36GeDy4y,anonymous,EN-GB,22,At home,Silence,Afternoon,5.5,15,,,,How rushed did you feel when grading?,,
2024-04-09 00:34:05,2024-04-09 00:35:13,IP Address,100,68,True,2024-04-09 00:35:13,R_81j3Bw3CZp9YIlG,anonymous,EN-GB,5,At my desk,Listening to music,Night,2.5,15,,,,How rushed did you feel when grading?,,"On account of my dissertation, grading assignments had slipped my mind, so grading 15 at once did make me feel somewhat rushed."
2024-04-10 16:59:55,2024-04-10 17:01:39,IP Address,100,103,True,2024-04-10 17:01:40,R_2cc47kEqoosa7N3,anonymous,EN-GB,18,At home in a cosy environment,Listening to lo-fi music,Morning,1,3,,,How rushed did you feel when grading?,,,"As these were the first submissions from the second batch, I needed a bit of time to accommodate again with the criteria and how I should allocate the marks. I read again all the instruction documents to make sure I do not make any mistake."
2024-04-10 17:01:43,2024-04-10 17:03:20,IP Address,100,96,True,2024-04-10 17:03:20,R_2QfT8HX8BIZRcEg,anonymous,EN-GB,18,At home with some little distractions,Listening to lo-fi music and sometimes marking in silence,Afternoon,1,5,,,,How rushed did you feel when grading?,,It started to feel natural as I got through the submissions. It can be noticed that the grades start to look like a normal distribution which seems like a good sign.
2024-04-11 18:21:56,2024-04-11 18:22:18,IP Address,100,22,True,2024-04-11 18:22:19,R_1L8Fgtovvkx1FW9,anonymous,EN-GB,22,Home,Silenece,Evening,0.5,2,,How rushed did you feel when grading?,How rushed did you feel when grading?,,,
2024-04-11 21:24:47,2024-04-11 21:25:34,IP Address,100,47,True,2024-04-11 21:25:35,R_3MgpjR1r6N5z617,anonymous,EN-GB,18,In my room at home,Listening to lo-fi music,Morning,1.5,6,,,How rushed did you feel when grading?,,,It started to feel natural to mark the assignments. Nothing special happened.
2024-04-11 21:25:38,2024-04-11 21:26:52,IP Address,100,74,True,2024-04-11 21:26:53,R_3X5aLobbdWkDUzU,anonymous,EN-GB,18,In a cinema room at my uni accommodation,"Watching TV, but not in a loud environment",Evening,0.75,3,,,,How rushed did you feel when grading?,,"Because I was in a cinema room, it felt a bit difficult to focus on the assignment, but I consider that the marking for those was not biased in any way, but it felt longer."
2024-04-12 10:31:55,2024-04-12 10:33:09,IP Address,100,73,True,2024-04-12 10:33:09,R_7vZg5Q6skAR7Upg,anonymous,EN-GB,18,At home in front of my computer,Listening to lo-fi music in a cosy environment,Morning,0.75,3,,,How rushed did you feel when grading?,,,"This was the last batch I marked, and I tried not to rush it because I wanted to be finished as soon as possible, keeping the level at the same level with the same assignments."
2024-04-12 16:41:24,2024-04-12 16:41:36,IP Address,100,12,True,2024-04-12 16:41:37,R_7kk5FNhSt0BF31K,anonymous,EN-GB,22,Home,Silence,Afternoon,1,2,,How rushed did you feel when grading?,,,,
